timestamp,ghi_forecast,dni_forecast,dhi_forecast,temp_c,cloud_cover,production_mwh
2026-08-03 00:00:00,0.0,0.0,0.0,22.8,0.0,0.0
2026-08-03 01:00:00,0.0,0.0,0.0,22.1,0.01,0.0
2026-08-03 02:00:00,0.0,0.0,0.0,21.5,0.0,0.0
2026-08-03 03:00:00,0.0,0.0,0.0,20.8,0.0,0.0
2026-08-03 04:00:00,0.0,0.0,0.0,20.1,0.0,0.0
2026-08-03 05:00:00,0.0,0.0,0.0,19.9,0.0,0.0
2026-08-03 06:00:00,0.0,0.0,0.0,19.4,0.0,20.64
2026-08-03 07:00:00,75.0,360.9,30.0,20.5,0.0,123.72
2026-08-03 08:00:00,261.0,634.3,65.0,23.4,0.0,196.59
2026-08-03 09:00:00,469.0,773.4,85.0,25.9,0.0,199.97
2026-08-03 10:00:00,659.0,846.5,98.0,28.1,0.0,199.98
2026-08-03 11:00:00,816.0,890.4,107.0,29.6,0.0,199.98
2026-08-03 12:00:00,925.0,914.2,113.0,30.7,0.0,199.97
2026-08-03 13:00:00,977.0,924.9,115.0,31.6,0.0,199.97
2026-08-03 14:00:00,969.0,924.5,114.0,32.3,0.0,199.98
2026-08-03 15:00:00,902.0,913.3,110.0,32.6,0.0,199.9
2026-08-03 16:00:00,781.0,887.4,104.0,32.3,0.0,199.9
2026-08-03 17:00:00,613.0,841.6,92.0,32.0,0.01,180.94
2026-08-03 18:00:00,414.0,749.8,80.0,31.5,0.03,84.5
2026-08-03 19:00:00,203.0,574.9,57.0,30.4,0.03,7.03
2026-08-03 20:00:00,37.0,206.6,17.0,28.0,0.02,0.0
2026-08-03 21:00:00,0.0,0.0,0.0,26.6,0.02,0.0
2026-08-03 22:00:00,0.0,0.0,0.0,25.5,0.0,0.0
2026-08-03 23:00:00,0.0,0.0,0.0,24.5,0.0,0.0
