timestamp,ghi_forecast,dni_forecast,dhi_forecast,temp_c,cloud_cover,production_mwh
2026-09-19 00:00:00,0.0,0.0,0.0,14.8,0.09,0.0
2026-09-19 01:00:00,0.0,0.0,0.0,14.3,0.05,0.0
2026-09-19 02:00:00,0.0,0.0,0.0,14.0,0.04,0.0
2026-09-19 03:00:00,0.0,0.0,0.0,13.3,0.05,0.0
2026-09-19 04:00:00,0.0,0.0,0.0,13.2,0.04,0.0
2026-09-19 05:00:00,0.0,0.0,0.0,12.9,0.05,0.0
2026-09-19 06:00:00,0.0,0.0,0.0,12.4,0.06,0.0
2026-09-19 07:00:00,9.0,46.8,6.0,12.3,0.09,13.47
2026-09-19 08:00:00,135.0,435.8,53.0,14.5,0.05,33.85
2026-09-19 09:00:00,334.0,650.7,86.0,16.4,0.06,42.72
2026-09-19 10:00:00,518.0,739.3,112.0,18.7,0.09,51.53
2026-09-19 11:00:00,635.0,718.3,146.0,20.8,0.35,124.61
2026-09-19 12:00:00,705.0,660.9,198.0,22.5,0.24,174.29
2026-09-19 13:00:00,743.0,668.3,207.0,23.7,0.21,191.49
2026-09-19 14:00:00,736.0,686.7,198.0,24.5,0.14,154.48
2026-09-19 15:00:00,659.0,696.3,163.0,24.0,0.13,164.19
2026-09-19 16:00:00,447.0,402.6,208.0,24.3,0.1,188.52
2026-09-19 17:00:00,337.0,459.2,137.0,23.4,0.04,88.21
2026-09-19 18:00:00,179.0,430.3,72.0,22.1,0.01,6.83
2026-09-19 19:00:00,29.0,136.6,16.0,20.0,0.0,0.0
2026-09-19 20:00:00,0.0,0.0,0.0,18.6,0.0,0.0
2026-09-19 21:00:00,0.0,0.0,0.0,17.8,0.02,0.0
2026-09-19 22:00:00,0.0,0.0,0.0,17.2,0.01,0.0
2026-09-19 23:00:00,0.0,0.0,0.0,16.5,0.01,0.0
