timestamp,ghi_forecast,dni_forecast,dhi_forecast,temp_c,cloud_cover,production_mwh
2026-09-05 00:00:00,0.0,0.0,0.0,20.2,0.0,0.0
2026-09-05 01:00:00,0.0,0.0,0.0,18.7,0.0,0.0
2026-09-05 02:00:00,0.0,0.0,0.0,18.0,0.0,0.0
2026-09-05 03:00:00,0.0,0.0,0.0,17.6,0.0,0.0
2026-09-05 04:00:00,0.0,0.0,0.0,17.0,0.0,0.0
2026-09-05 05:00:00,0.0,0.0,0.0,16.2,0.0,0.0
2026-09-05 06:00:00,0.0,0.0,0.0,15.1,0.0,4.2
2026-09-05 07:00:00,22.0,131.5,11.0,15.0,0.0,72.91
2026-09-05 08:00:00,180.0,549.5,55.0,18.0,0.0,179.96
2026-09-05 09:00:00,389.0,734.6,80.0,20.1,0.0,199.87
2026-09-05 10:00:00,585.0,830.5,95.0,23.0,0.0,199.9
2026-09-05 11:00:00,746.0,886.5,104.0,25.9,0.0,199.9
2026-09-05 12:00:00,856.0,915.4,111.0,27.8,0.0,199.9
2026-09-05 13:00:00,905.0,928.5,113.0,28.5,0.0,199.9
2026-09-05 14:00:00,889.0,926.3,112.0,29.0,0.02,199.9
2026-09-05 15:00:00,809.0,903.7,111.0,29.1,0.08,199.9
2026-09-05 16:00:00,671.0,860.0,105.0,29.0,0.13,198.35
2026-09-05 17:00:00,486.0,772.0,97.0,28.5,0.02,132.99
2026-09-05 18:00:00,280.0,656.0,70.0,27.6,0.02,23.61
2026-09-05 19:00:00,82.0,380.4,32.0,25.4,0.03,0.0
2026-09-05 20:00:00,0.0,0.0,0.0,23.6,0.04,0.0
2026-09-05 21:00:00,0.0,0.0,0.0,22.6,0.02,0.0
2026-09-05 22:00:00,0.0,0.0,0.0,21.0,0.02,0.0
2026-09-05 23:00:00,0.0,0.0,0.0,20.3,0.0,0.0
