timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2026-07-08 00:00:00,0.0,21.2,0.04,0.0
2026-07-08 01:00:00,0.0,19.8,0.07,0.0
2026-07-08 02:00:00,0.0,18.6,0.0,0.0
2026-07-08 03:00:00,0.0,17.8,0.0,0.0
2026-07-08 04:00:00,0.0,16.8,0.0,0.0
2026-07-08 05:00:00,0.0,16.1,0.0,1.22
2026-07-08 06:00:00,9.0,15.9,0.01,39.39
2026-07-08 07:00:00,119.0,17.5,0.0,146.35
2026-07-08 08:00:00,304.0,19.5,0.0,197.98
2026-07-08 09:00:00,500.0,21.1,0.0,199.9
2026-07-08 10:00:00,678.0,23.3,0.0,199.9
2026-07-08 11:00:00,827.0,24.9,0.0,199.84
2026-07-08 12:00:00,922.0,26.3,0.27,199.9
2026-07-08 13:00:00,895.0,27.3,0.12,199.9
2026-07-08 14:00:00,907.0,28.4,0.09,199.9
2026-07-08 15:00:00,868.0,29.0,0.07,199.9
2026-07-08 16:00:00,798.0,29.4,0.05,199.9
2026-07-08 17:00:00,626.0,28.9,0.04,187.59
2026-07-08 18:00:00,447.0,28.4,0.04,105.02
2026-07-08 19:00:00,264.0,27.8,0.08,17.12
2026-07-08 20:00:00,83.0,26.8,0.13,0.0
2026-07-08 21:00:00,2.0,26.2,0.05,0.0
2026-07-08 22:00:00,0.0,25.0,0.0,0.0
2026-07-08 23:00:00,0.0,23.0,0.0,0.0
