timestamp,ghi_forecast,dni_forecast,dhi_forecast,temp_c,cloud_cover,production_mwh
2026-08-27 00:00:00,0.0,0.0,0.0,23.1,0.0,0.0
2026-08-27 01:00:00,0.0,0.0,0.0,22.3,0.0,0.0
2026-08-27 02:00:00,0.0,0.0,0.0,20.0,0.0,0.0
2026-08-27 03:00:00,0.0,0.0,0.0,19.4,0.0,0.0
2026-08-27 04:00:00,0.0,0.0,0.0,18.9,0.0,0.0
2026-08-27 05:00:00,0.0,0.0,0.0,19.0,0.0,0.0
2026-08-27 06:00:00,0.0,0.0,0.0,19.1,0.0,6.9
2026-08-27 07:00:00,33.0,177.9,16.0,19.9,0.0,80.38
2026-08-27 08:00:00,200.0,565.3,58.0,22.6,0.0,178.57
2026-08-27 09:00:00,408.0,737.3,81.0,24.4,0.0,198.77
2026-08-27 10:00:00,603.0,825.6,97.0,26.4,0.0,199.98
2026-08-27 11:00:00,762.0,877.3,106.0,28.3,0.0,199.98
2026-08-27 12:00:00,871.0,904.8,112.0,29.8,0.0,199.98
2026-08-27 13:00:00,923.0,920.4,113.0,30.8,0.08,199.98
2026-08-27 14:00:00,874.0,860.1,127.0,31.3,0.09,199.9
2026-08-27 15:00:00,784.0,814.9,128.0,31.9,0.08,199.82
2026-08-27 16:00:00,648.0,761.1,120.0,31.7,0.06,188.11
2026-08-27 17:00:00,490.0,711.6,104.0,31.3,0.09,129.3
2026-08-27 18:00:00,295.0,595.1,80.0,30.5,0.11,29.64
2026-08-27 19:00:00,108.0,399.5,43.0,29.0,0.09,0.68
2026-08-27 20:00:00,4.0,19.1,3.0,26.4,0.07,0.0
2026-08-27 21:00:00,0.0,0.0,0.0,25.5,0.08,0.0
2026-08-27 22:00:00,0.0,0.0,0.0,24.5,0.05,0.0
2026-08-27 23:00:00,0.0,0.0,0.0,23.2,0.07,0.0
