timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2026-07-15 00:00:00,0.0,18.6,0.01,0.0
2026-07-15 01:00:00,0.0,17.8,0.01,0.0
2026-07-15 02:00:00,0.0,17.0,0.01,0.0
2026-07-15 03:00:00,0.0,16.6,0.0,0.0
2026-07-15 04:00:00,0.0,15.6,0.0,0.0
2026-07-15 05:00:00,0.0,14.9,0.0,0.0
2026-07-15 06:00:00,6.0,14.7,0.0,26.65
2026-07-15 07:00:00,110.0,15.8,0.0,127.97
2026-07-15 08:00:00,294.0,17.6,0.0,195.23
2026-07-15 09:00:00,491.0,19.7,0.0,199.76
2026-07-15 10:00:00,673.0,21.8,0.0,199.92
2026-07-15 11:00:00,824.0,23.7,0.0,199.91
2026-07-15 12:00:00,931.0,25.3,0.0,199.94
2026-07-15 13:00:00,980.0,26.6,0.01,199.92
2026-07-15 14:00:00,958.0,27.9,0.02,199.92
2026-07-15 15:00:00,894.0,28.7,0.05,199.92
2026-07-15 16:00:00,780.0,29.2,0.02,199.74
2026-07-15 17:00:00,637.0,29.0,0.01,183.39
2026-07-15 18:00:00,451.0,28.9,0.05,96.74
2026-07-15 19:00:00,261.0,28.5,0.28,12.6
2026-07-15 20:00:00,70.0,28.0,0.97,0.0
2026-07-15 21:00:00,1.0,26.1,0.16,0.0
2026-07-15 22:00:00,0.0,24.8,0.04,0.0
2026-07-15 23:00:00,0.0,22.7,0.02,0.0
