timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2026-07-13 00:00:00,0.0,23.3,0.0,0.0
2026-07-13 01:00:00,0.0,22.3,0.0,0.0
2026-07-13 02:00:00,0.0,21.3,0.0,0.0
2026-07-13 03:00:00,0.0,20.2,0.0,0.0
2026-07-13 04:00:00,0.0,19.2,0.0,0.0
2026-07-13 05:00:00,0.0,18.3,0.0,0.29
2026-07-13 06:00:00,7.0,17.9,0.0,36.91
2026-07-13 07:00:00,114.0,19.3,0.0,145.82
2026-07-13 08:00:00,299.0,21.1,0.0,197.95
2026-07-13 09:00:00,495.0,23.0,0.0,199.98
2026-07-13 10:00:00,675.0,25.4,0.0,199.98
2026-07-13 11:00:00,824.0,27.3,0.0,199.91
2026-07-13 12:00:00,929.0,29.0,0.0,199.97
2026-07-13 13:00:00,982.0,30.3,0.0,199.97
2026-07-13 14:00:00,969.0,31.2,0.1,199.98
2026-07-13 15:00:00,892.0,31.8,0.06,200.01
2026-07-13 16:00:00,772.0,31.8,0.03,199.93
2026-07-13 17:00:00,634.0,31.6,0.01,190.48
2026-07-13 18:00:00,461.0,31.2,0.01,107.55
2026-07-13 19:00:00,264.0,30.3,0.1,15.94
2026-07-13 20:00:00,82.0,28.8,0.02,0.0
2026-07-13 21:00:00,2.0,26.1,0.0,0.0
2026-07-13 22:00:00,0.0,24.8,0.0,0.0
2026-07-13 23:00:00,0.0,23.5,0.01,0.0
