timestamp,ghi_forecast,dni_forecast,dhi_forecast,temp_c,cloud_cover,production_mwh
2026-09-03 00:00:00,0.0,0.0,0.0,18.5,0.0,0.0
2026-09-03 01:00:00,0.0,0.0,0.0,17.9,0.0,0.0
2026-09-03 02:00:00,0.0,0.0,0.0,17.6,0.0,0.0
2026-09-03 03:00:00,0.0,0.0,0.0,16.4,0.0,0.0
2026-09-03 04:00:00,0.0,0.0,0.0,15.6,0.0,0.0
2026-09-03 05:00:00,0.0,0.0,0.0,14.9,0.0,0.0
2026-09-03 06:00:00,0.0,0.0,0.0,13.9,0.0,5.11
2026-09-03 07:00:00,25.0,139.0,13.0,14.2,0.0,82.34
2026-09-03 08:00:00,188.0,571.2,55.0,17.0,0.0,189.62
2026-09-03 09:00:00,401.0,753.8,80.0,19.4,0.0,199.9
2026-09-03 10:00:00,602.0,851.6,95.0,22.2,0.0,199.9
2026-09-03 11:00:00,763.0,903.1,104.0,24.7,0.0,199.9
2026-09-03 12:00:00,873.0,930.7,110.0,26.8,0.0,199.9
2026-09-03 13:00:00,921.0,940.2,113.0,28.5,0.0,199.9
2026-09-03 14:00:00,904.0,937.5,111.0,29.5,0.0,199.9
2026-09-03 15:00:00,823.0,917.8,107.0,30.0,0.0,199.9
2026-09-03 16:00:00,686.0,880.6,99.0,29.7,0.0,197.36
2026-09-03 17:00:00,504.0,811.0,88.0,29.3,0.0,136.61
2026-09-03 18:00:00,294.0,682.3,69.0,28.3,0.0,28.2
2026-09-03 19:00:00,92.0,418.0,35.0,25.2,0.0,0.0
2026-09-03 20:00:00,1.0,0.0,1.0,23.1,0.01,0.0
2026-09-03 21:00:00,0.0,0.0,0.0,21.5,0.01,0.0
2026-09-03 22:00:00,0.0,0.0,0.0,20.5,0.01,0.0
2026-09-03 23:00:00,0.0,0.0,0.0,19.7,0.01,0.0
