timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2026-07-17 00:00:00,0.0,22.0,0.05,0.0
2026-07-17 01:00:00,0.0,21.3,0.01,0.0
2026-07-17 02:00:00,0.0,20.6,0.0,0.0
2026-07-17 03:00:00,0.0,20.0,0.0,0.0
2026-07-17 04:00:00,0.0,19.1,0.0,0.0
2026-07-17 05:00:00,0.0,18.4,0.0,0.69
2026-07-17 06:00:00,5.0,17.9,0.0,33.77
2026-07-17 07:00:00,103.0,18.9,0.01,143.61
2026-07-17 08:00:00,287.0,20.3,0.04,198.67
2026-07-17 09:00:00,484.0,21.9,0.18,199.93
2026-07-17 10:00:00,665.0,23.7,0.23,199.93
2026-07-17 11:00:00,815.0,25.5,0.19,199.92
2026-07-17 12:00:00,921.0,27.1,0.0,199.92
2026-07-17 13:00:00,973.0,28.3,0.02,199.93
2026-07-17 14:00:00,970.0,29.2,0.01,199.92
2026-07-17 15:00:00,909.0,30.1,0.91,199.92
2026-07-17 16:00:00,699.0,29.8,0.48,199.92
2026-07-17 17:00:00,589.0,30.4,0.79,193.94
2026-07-17 18:00:00,304.0,29.0,0.58,110.21
2026-07-17 19:00:00,175.0,28.4,0.39,15.96
2026-07-17 20:00:00,65.0,27.9,0.56,0.0
2026-07-17 21:00:00,1.0,26.7,0.32,0.0
2026-07-17 22:00:00,0.0,25.4,0.25,0.0
2026-07-17 23:00:00,0.0,23.7,0.16,0.0
