timestamp,ghi_forecast,dni_forecast,dhi_forecast,temp_c,cloud_cover,production_mwh
2026-08-02 00:00:00,0.0,0.0,0.0,22.0,0.29,0.0
2026-08-02 01:00:00,0.0,0.0,0.0,21.5,0.31,0.0
2026-08-02 02:00:00,0.0,0.0,0.0,20.1,0.02,0.0
2026-08-02 03:00:00,0.0,0.0,0.0,19.3,0.05,0.0
2026-08-02 04:00:00,0.0,0.0,0.0,18.3,0.05,0.0
2026-08-02 05:00:00,0.0,0.0,0.0,17.4,0.05,0.0
2026-08-02 06:00:00,0.0,0.0,0.0,16.6,0.01,20.29
2026-08-02 07:00:00,75.0,341.8,32.0,17.4,0.0,118.91
2026-08-02 08:00:00,259.0,616.9,67.0,19.1,0.0,195.98
2026-08-02 09:00:00,465.0,758.3,87.0,20.7,0.0,199.92
2026-08-02 10:00:00,658.0,838.2,101.0,23.1,0.0,200.01
2026-08-02 11:00:00,815.0,883.5,110.0,25.3,0.0,199.98
2026-08-02 12:00:00,925.0,910.4,115.0,27.1,0.0,199.98
2026-08-02 13:00:00,979.0,923.3,117.0,28.7,0.0,199.98
2026-08-02 14:00:00,973.0,926.1,115.0,30.0,0.0,199.98
2026-08-02 15:00:00,909.0,919.5,110.0,30.4,0.0,199.9
2026-08-02 16:00:00,784.0,889.1,104.0,30.7,0.0,199.9
2026-08-02 17:00:00,613.0,837.0,93.0,30.7,0.01,184.93
2026-08-02 18:00:00,413.0,741.1,81.0,30.2,0.0,85.46
2026-08-02 19:00:00,206.0,576.3,58.0,29.3,0.0,7.56
2026-08-02 20:00:00,38.0,213.7,17.0,27.2,0.0,0.0
2026-08-02 21:00:00,0.0,0.0,0.0,25.6,0.0,0.0
2026-08-02 22:00:00,0.0,0.0,0.0,24.2,0.01,0.0
2026-08-02 23:00:00,0.0,0.0,0.0,23.4,0.0,0.0
