timestamp,ghi_forecast,dni_forecast,dhi_forecast,temp_c,cloud_cover,production_mwh
2026-08-08 00:00:00,0.0,0.0,0.0,24.8,0.01,0.0
2026-08-08 01:00:00,0.0,0.0,0.0,22.8,0.0,0.0
2026-08-08 02:00:00,0.0,0.0,0.0,21.2,0.0,0.0
2026-08-08 03:00:00,0.0,0.0,0.0,20.8,0.0,0.0
2026-08-08 04:00:00,0.0,0.0,0.0,20.1,0.0,0.0
2026-08-08 05:00:00,0.0,0.0,0.0,19.6,0.0,0.0
2026-08-08 06:00:00,0.0,0.0,0.0,19.3,0.0,13.61
2026-08-08 07:00:00,64.0,319.5,26.0,21.1,0.0,97.52
2026-08-08 08:00:00,248.0,618.3,64.0,24.0,0.0,183.69
2026-08-08 09:00:00,455.0,762.9,84.0,25.7,0.0,199.9
2026-08-08 10:00:00,647.0,841.6,97.0,27.9,0.0,199.9
2026-08-08 11:00:00,806.0,888.6,106.0,30.0,0.0,199.9
2026-08-08 12:00:00,916.0,914.9,111.0,31.6,0.0,199.9
2026-08-08 13:00:00,969.0,924.6,115.0,32.7,0.0,199.9
2026-08-08 14:00:00,960.0,923.6,114.0,33.2,0.02,199.31
2026-08-08 15:00:00,893.0,916.7,107.0,33.1,0.02,199.9
2026-08-08 16:00:00,735.0,803.3,131.0,32.9,0.0,197.6
2026-08-08 17:00:00,591.0,817.5,95.0,32.6,0.02,165.88
2026-08-08 18:00:00,388.0,711.2,81.0,32.2,0.05,68.09
2026-08-08 19:00:00,188.0,557.1,55.0,31.1,0.03,4.74
2026-08-08 20:00:00,29.0,168.3,14.0,28.1,0.02,0.0
2026-08-08 21:00:00,0.0,0.0,0.0,27.1,0.05,0.0
2026-08-08 22:00:00,0.0,0.0,0.0,25.9,0.04,0.0
2026-08-08 23:00:00,0.0,0.0,0.0,25.0,0.02,0.0
