timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2026-07-03 00:00:00,0.0,24.7,0.2,0.0
2026-07-03 01:00:00,0.0,23.9,0.07,0.0
2026-07-03 02:00:00,0.0,22.9,0.0,0.0
2026-07-03 03:00:00,0.0,21.9,0.08,0.0
2026-07-03 04:00:00,0.0,20.6,0.1,0.0
2026-07-03 05:00:00,0.0,19.8,0.15,1.24
2026-07-03 06:00:00,9.0,19.7,0.34,37.34
2026-07-03 07:00:00,104.0,20.6,0.25,140.65
2026-07-03 08:00:00,251.0,21.8,0.38,192.9
2026-07-03 09:00:00,409.0,24.1,0.24,199.9
2026-07-03 10:00:00,583.0,26.0,0.12,199.9
2026-07-03 11:00:00,755.0,27.7,0.02,199.9
2026-07-03 12:00:00,899.0,29.2,0.21,199.9
2026-07-03 13:00:00,886.0,30.0,0.25,199.9
2026-07-03 14:00:00,890.0,30.7,0.15,199.9
2026-07-03 15:00:00,849.0,31.6,0.08,199.9
2026-07-03 16:00:00,735.0,31.2,0.05,194.9
2026-07-03 17:00:00,623.0,31.1,0.09,181.01
2026-07-03 18:00:00,426.0,31.1,0.88,83.7
2026-07-03 19:00:00,218.0,27.6,0.03,8.14
2026-07-03 20:00:00,87.0,26.1,0.0,0.0
2026-07-03 21:00:00,3.0,25.5,0.02,0.0
2026-07-03 22:00:00,0.0,24.2,0.02,0.0
2026-07-03 23:00:00,0.0,23.1,0.01,0.0
