timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2026-07-16 00:00:00,0.0,21.5,0.08,0.0
2026-07-16 01:00:00,0.0,20.8,0.01,0.0
2026-07-16 02:00:00,0.0,20.0,0.0,0.0
2026-07-16 03:00:00,0.0,19.4,0.0,0.0
2026-07-16 04:00:00,0.0,18.5,0.0,0.0
2026-07-16 05:00:00,0.0,17.7,0.0,0.0
2026-07-16 06:00:00,5.0,17.4,0.0,35.32
2026-07-16 07:00:00,106.0,18.5,0.0,148.51
2026-07-16 08:00:00,288.0,20.1,0.0,199.6
2026-07-16 09:00:00,484.0,21.9,0.0,199.92
2026-07-16 10:00:00,667.0,23.8,0.0,199.92
2026-07-16 11:00:00,819.0,25.6,0.0,199.92
2026-07-16 12:00:00,926.0,27.1,0.0,199.92
2026-07-16 13:00:00,980.0,28.3,0.0,199.92
2026-07-16 14:00:00,975.0,29.2,0.0,199.92
2026-07-16 15:00:00,913.0,29.8,0.0,199.92
2026-07-16 16:00:00,797.0,30.1,0.18,199.92
2026-07-16 17:00:00,637.0,30.3,0.27,193.38
2026-07-16 18:00:00,440.0,30.1,0.63,111.32
2026-07-16 19:00:00,235.0,28.9,0.38,16.36
2026-07-16 20:00:00,65.0,27.3,0.01,0.0
2026-07-16 21:00:00,1.0,26.9,0.0,0.0
2026-07-16 22:00:00,0.0,24.5,0.02,0.0
2026-07-16 23:00:00,0.0,23.0,0.05,0.0
