timestamp,ghi_forecast,dni_forecast,dhi_forecast,temp_c,cloud_cover,production_mwh
2026-08-15 00:00:00,0.0,0.0,0.0,20.1,0.01,0.0
2026-08-15 01:00:00,0.0,0.0,0.0,19.2,0.01,0.0
2026-08-15 02:00:00,0.0,0.0,0.0,18.2,0.01,0.0
2026-08-15 03:00:00,0.0,0.0,0.0,17.4,0.06,0.0
2026-08-15 04:00:00,0.0,0.0,0.0,16.6,0.02,0.0
2026-08-15 05:00:00,0.0,0.0,0.0,15.8,0.01,0.0
2026-08-15 06:00:00,0.0,0.0,0.0,15.1,0.01,11.66
2026-08-15 07:00:00,51.0,253.0,23.0,15.4,0.0,81.19
2026-08-15 08:00:00,228.0,576.1,66.0,16.6,0.0,163.82
2026-08-15 09:00:00,435.0,738.1,87.0,17.9,0.0,199.9
2026-08-15 10:00:00,629.0,823.8,102.0,19.9,0.0,199.9
2026-08-15 11:00:00,787.0,871.5,112.0,21.9,0.0,199.9
2026-08-15 12:00:00,897.0,900.0,117.0,23.6,0.01,197.7
2026-08-15 13:00:00,949.0,911.1,120.0,25.2,0.01,199.9
2026-08-15 14:00:00,938.0,910.0,118.0,26.5,0.02,199.02
2026-08-15 15:00:00,867.0,897.7,112.0,26.5,0.01,199.9
2026-08-15 16:00:00,744.0,872.4,104.0,26.7,0.02,199.8
2026-08-15 17:00:00,565.0,801.6,95.0,26.5,0.08,169.22
2026-08-15 18:00:00,356.0,674.7,80.0,25.9,0.05,59.73
2026-08-15 19:00:00,161.0,504.8,53.0,24.7,0.02,2.91
2026-08-15 20:00:00,17.0,104.5,9.0,22.7,0.03,0.0
2026-08-15 21:00:00,0.0,0.0,0.0,21.5,0.04,0.0
2026-08-15 22:00:00,0.0,0.0,0.0,20.3,0.02,0.0
2026-08-15 23:00:00,0.0,0.0,0.0,19.4,0.02,0.0
