timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2026-07-07 00:00:00,0.0,19.0,0.05,0.0
2026-07-07 01:00:00,0.0,18.3,0.23,0.0
2026-07-07 02:00:00,0.0,17.7,0.29,0.0
2026-07-07 03:00:00,0.0,17.5,0.16,0.0
2026-07-07 04:00:00,0.0,16.9,0.05,0.0
2026-07-07 05:00:00,0.0,16.1,0.01,0.0
2026-07-07 06:00:00,9.0,15.9,0.0,12.38
2026-07-07 07:00:00,119.0,17.2,0.02,84.97
2026-07-07 08:00:00,300.0,18.8,0.02,197.01
2026-07-07 09:00:00,495.0,20.8,0.02,199.9
2026-07-07 10:00:00,671.0,22.6,0.19,199.9
2026-07-07 11:00:00,747.0,23.9,0.27,199.9
2026-07-07 12:00:00,813.0,25.0,0.18,199.9
2026-07-07 13:00:00,907.0,26.1,0.05,187.74
2026-07-07 14:00:00,935.0,27.3,0.28,199.9
2026-07-07 15:00:00,825.0,27.4,0.08,197.67
2026-07-07 16:00:00,735.0,27.5,0.13,190.83
2026-07-07 17:00:00,588.0,27.4,0.16,188.91
2026-07-07 18:00:00,426.0,27.0,0.26,45.13
2026-07-07 19:00:00,240.0,25.9,0.5,6.44
2026-07-07 20:00:00,79.0,24.8,0.05,0.0
2026-07-07 21:00:00,2.0,24.4,0.09,0.0
2026-07-07 22:00:00,0.0,23.1,0.07,0.0
2026-07-07 23:00:00,0.0,22.2,0.05,0.0
