timestamp,ghi_forecast,dni_forecast,dhi_forecast,temp_c,cloud_cover,production_mwh
2026-08-16 00:00:00,0.0,0.0,0.0,18.6,0.05,0.0
2026-08-16 01:00:00,0.0,0.0,0.0,18.0,0.05,0.0
2026-08-16 02:00:00,0.0,0.0,0.0,17.4,0.18,0.0
2026-08-16 03:00:00,0.0,0.0,0.0,17.2,0.1,0.0
2026-08-16 04:00:00,0.0,0.0,0.0,16.3,0.01,0.0
2026-08-16 05:00:00,0.0,0.0,0.0,15.6,0.01,0.0
2026-08-16 06:00:00,0.0,0.0,0.0,15.2,0.02,11.62
2026-08-16 07:00:00,48.0,237.5,22.0,16.0,0.03,96.27
2026-08-16 08:00:00,225.0,573.9,65.0,17.9,0.01,187.77
2026-08-16 09:00:00,432.0,735.2,87.0,19.6,0.04,199.9
2026-08-16 10:00:00,624.0,815.5,104.0,22.0,0.01,199.9
2026-08-16 11:00:00,782.0,866.0,113.0,24.1,0.01,199.9
2026-08-16 12:00:00,884.0,881.3,122.0,25.7,0.1,199.9
2026-08-16 13:00:00,916.0,860.4,135.0,26.7,0.03,199.9
2026-08-16 14:00:00,906.0,857.9,135.0,27.5,0.09,199.9
2026-08-16 15:00:00,803.0,784.9,145.0,27.9,0.1,199.9
2026-08-16 16:00:00,714.0,814.3,119.0,27.7,0.05,199.37
2026-08-16 17:00:00,549.0,770.1,100.0,27.3,0.06,167.61
2026-08-16 18:00:00,355.0,670.8,83.0,26.6,0.1,55.81
2026-08-16 19:00:00,152.0,476.1,52.0,25.5,0.08,2.32
2026-08-16 20:00:00,15.0,80.4,9.0,23.6,0.04,0.0
2026-08-16 21:00:00,0.0,0.0,0.0,22.4,0.03,0.0
2026-08-16 22:00:00,0.0,0.0,0.0,21.5,0.02,0.0
2026-08-16 23:00:00,0.0,0.0,0.0,20.3,0.02,0.0
