timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2026-07-05 00:00:00,0.0,20.7,0.02,0.0
2026-07-05 01:00:00,0.0,19.9,0.02,0.0
2026-07-05 02:00:00,0.0,19.2,0.13,0.0
2026-07-05 03:00:00,0.0,18.9,0.26,0.0
2026-07-05 04:00:00,0.0,18.0,0.3,0.0
2026-07-05 05:00:00,0.0,17.5,0.3,0.0
2026-07-05 06:00:00,9.0,17.6,0.23,27.39
2026-07-05 07:00:00,111.0,18.9,0.23,111.67
2026-07-05 08:00:00,285.0,20.4,0.31,197.87
2026-07-05 09:00:00,452.0,21.5,1.0,199.9
2026-07-05 10:00:00,453.0,22.6,0.73,199.9
2026-07-05 11:00:00,645.0,24.0,0.31,199.9
2026-07-05 12:00:00,786.0,25.1,0.38,199.9
2026-07-05 13:00:00,848.0,26.0,0.35,199.53
2026-07-05 14:00:00,624.0,24.6,0.87,199.9
2026-07-05 15:00:00,558.0,23.1,0.55,199.57
2026-07-05 16:00:00,483.0,23.9,0.5,177.65
2026-07-05 17:00:00,539.0,24.7,0.42,125.54
2026-07-05 18:00:00,362.0,24.4,0.46,29.52
2026-07-05 19:00:00,231.0,23.7,0.41,4.11
2026-07-05 20:00:00,71.0,22.9,0.38,0.0
2026-07-05 21:00:00,2.0,22.1,0.2,0.0
2026-07-05 22:00:00,0.0,21.2,0.19,0.0
2026-07-05 23:00:00,0.0,19.8,0.25,0.0
